"RELADDR2","customer","bill type","SIC","billtype description","Search type","searchtype description","Long key","Customer name","Address 1","Address 2","Address 3","Town","Postal code","PRICING_SCHEDULE","SCHED_DESCRIPTION","Country code","Category 02","CUSTOMER_NATURE_DESCRIPTION","Category 21","CATEGORY_DESCRIPTION"
48068971,48068971,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE202220148","DHR.COEN ARTHUR","","","AUGUSTIJNENSTRAAT 18/32","ANTWERPEN","2000","BEAS","Belgium Adv. Pricing Schedule","BE","EHC","Home Care Customers","",""
48068972,48068972,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE202220149","MEV.IWASKIW MONICA","***PATIENT HEMO 23/07/2010***","","JAN DE VOSLEI 37 BUS 9","ANTWERPEN","2020","BEAS","Belgium Adv. Pricing Schedule","BE","999","Default Customer Type","",""
48068973,48068973,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE202220150","MEVR. VAN DONINCK JOZEFA","PAT HAEMO","","KEMPENLANDSTRAAT 70","HOBOKEN","2660","BEAS","Belgium Adv. Pricing Schedule","BE","999","Default Customer Type","",""
48068974,48068974,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE202220151","MEVR. GIJSENS HILDE","***PATIENT HEMO 23/06/2010***","","VALKENIERSDREEF 5   BUS 24","KEERBERGEN","3140","BEAS","Belgium Adv. Pricing Schedule","BE","999","Default Customer Type","",""
48068975,48068975,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE202220152","GUEVORGUIAN MAIS","","","EKSTERLAAR 60","DEURNE","2100","BEAS","Belgium Adv. Pricing Schedule","BE","EHC","Home Care Customers","",""
48068976,48068976,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE202220153","MEV.HUYBREGTS NANCY","","","MEERSEL 16 B","MEER (HOOGSTRATEN)","2321","BEAS","Belgium Adv. Pricing Schedule","BE","EHC","Home Care Customers","",""
48068977,48068977,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE202220154","MEV.VAN HEURCK ROSE-MARIE","","","OUD-KERKHOFLAAN 23","EDEGEM","2650","BEAS","Belgium Adv. Pricing Schedule","BE","EHC","Home Care Customers","",""
48068978,48068978,"S","","Ship To Address Only","HP","Home Patient","BE202220155","DHR. DE GRUYTER GUIDO","","","SCHRIEKSTRAAT 28","NIJLEN","2560","BEAS","Belgium Adv. Pricing Schedule","BE","EH1","Dialysis Home Patient","",""
48068979,48068979,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE202220156","DHR.MNATSAKANYAN HAKOB","RODE KRUIS OPVANGCENTRUM","","BEATRIJSLAAN 100","ANTWERPEN","2050","BEAS","Belgium Adv. Pricing Schedule","BE","EHC","Home Care Customers","",""
48068980,48068980,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE48068980","MEV.SPILLMAN DANIELLE (AST)","","","HENDRICK CONSCIENCELAAN 33/2","AARTSELAAR","2630","BEAS","Belgium Adv. Pricing Schedule","BE","EHC","Home Care Customers","",""
48068981,48068981,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE202220158","MEV.ELENDU ELENDU JULIANA","","","EMILE VLOORSSTRAAT 11 9EVERD","ANTWERPEN","2020","BEAS","Belgium Adv. Pricing Schedule","BE","999","Default Customer Type","",""
48068982,48068982,"S","S","Ship To Address Only","C","Customers","BE202260001","ZIEKENHUIS INKENDAAL-T","KONINKLIJKE INSTELLING VZW","","INKENDAALSTRAAT 1","VLEZENBEEK","1602","BEAS","Belgium Adv. Pricing Schedule","BE","104","Private Hospital","",""
48068983,48068983,"S","S","Ship To Address Only","C","Customers","BE202329001","LABO NUYTINCK P.V.B.A.","","","REIBROEKSTRAAT 13","EVERGEM","9940","BEAS","Belgium Adv. Pricing Schedule","BE","E02","Private Laboratory","",""
48068984,48068984,"S","S","Ship To Address Only","C","Customers","BE202500002","ASTRAZENECA NV","","","SCHAESSESTRAAT 15","DESTELBERGEN","9070","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48068985,48068985,"S","S","Ship To Address Only","C","Customers","BE203003001","HOPITAL PETIT BOURGOGNE","","","RUE PROFESSEUR MAHAIN 84","LIEGE","4000","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48068986,48068986,"S","S","Ship To Address Only","C","Customers","BE203187001","PSYCHIATRISCH CENTRUM","OLV VAN VREDE","","BRUGGESTRAAT 57 - 59","MENEN","8930","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48068987,48068987,"S","S","Ship To Address Only","C","Customers","BE203200001","BOFAR NV","","","VENETIELAAN 41","HARELBEKE","8530","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48068988,48068988,"S","S","Ship To Address Only","C","Customers","BE203699001","PHARMALOGISTICS","","","DEMEURSLAAN 71","HUIZINGEN","1654","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48068989,48068989,"S","S","Ship To Address Only","C","Customers","BE203699002","PFIZER CLINICAL RESEARCH","","","ROUTE DE LENNIK 808","BRUXELLES","1070","BEAS","Belgium Adv. Pricing Schedule","BE","E21","Pharmaceutical Company","",""
48068990,48068990,"S","S","Ship To Address Only","C","Customers","BE203699003","PFIZER NV/SA","","","PLEINLAAN 17","BRUSSEL","1050","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48068991,48068991,"S","S","Ship To Address Only","C","Customers","BE203700001","BVG TRANSEXPRESS BVBA","","","MAALBROEKSTRAAT 16","BAVEGEM","9520","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48068992,48068992,"S","S","Ship To Address Only","C","Customers","BE203701001","APOTHEEK RAMAEKERS BVBA","","","DORPSSTRAAT 136","GELLIK","3620","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
48068993,48068993,"S","S","Ship To Address Only","C","Customers","BE203710001","SGS BELGIUM NV CPU ANTWERPEN","M. DEVOS PROJECT BE-80-1100204","ANTWERPEN 6 BLOK G","BOERHAVESTRAAT POORT 7","ANTWERPEN","2060","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48068994,48068994,"S","S","Ship To Address Only","C","Customers","BE203711001","CSM EUROPE SA","WATSON & CRICK HILL","","RUE GRANBONPRE 11","MONT-SAINT-GUIBERT","1435","BEAS","Belgium Adv. Pricing Schedule","BE","E15","Entreprise","",""
48068995,48068995,"S","S","Ship To Address Only","C","Customers","BE203712001","PHARMACEUTICA BVBA","","","ANTWERPSESTRAAT 149","LIER","2500","BEAS","Belgium Adv. Pricing Schedule","BE","E21","Pharmaceutical Company","",""
48068996,48068996,"S","S","Ship To Address Only","C","Customers","BE203713001","EUROCEPT B.V.","","","TRAPGANS 5","ANKEVEEN","NL1244 RL","BEAS","Belgium Adv. Pricing Schedule","NL","E14","Community","",""
48068997,48068997,"S","S","Ship To Address Only","DC","Deactivated Trade Customer","BE203714001","APOTHEEK VEREENHOOGHE LDL","","","STATIONSTRAAT 2","LENDELEDE","8860","BEAS","Belgium Adv. Pricing Schedule","BE","999","Default Customer Type","",""
48068998,48068998,"S","S","Ship To Address Only","C","Customers","BE203715001","PENITENTIAIR COMPLEX BRUGGE","","","LEGE WEG 200","BRUGGE","8200","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48068999,48068999,"S","S","Ship To Address Only","C","Customers","BE203900001","MARIAZIEKENHUIS VZW","APOTHEEK","","MAESENVELD 1","OVERPELT","3900","BEAS","Belgium Adv. Pricing Schedule","BE","104","Private Hospital","",""
48069000,48069000,"S","S","Ship To Address Only","C","Customers","BE203900002","MARIAZIEKENHUIS VZW","CENTRAAL MAGAZIJN","","MAESENVELD 1","OVERPELT","3900","BEAS","Belgium Adv. Pricing Schedule","BE","104","Private Hospital","",""
48069001,48069001,"S","S","Ship To Address Only","C","Customers","BE204445001","APOTHEEK ROGGEMAN B.V.B.A.","","","SCHUTTERSBOOMSTRAAT 11","OVERPELT","3900","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069002,48069002,"S","S","Ship To Address Only","C","Customers","BE204446001","APOTHEEK LB FARMA BVBA","","","LEISTRAAT 94","LICHTAART","2460","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
48069003,48069003,"S","S","Ship To Address Only","C","Customers","BE204448001","APOTHEEK SEPHABEL NV","","","NAAMSESTEENWEG 160","HEVERLEE","3001","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
48069004,48069004,"S","S","Ship To Address Only","C","Customers","BE204449001","APOTHEEK TAVERNIER","","","KOLVENIERSVEST 6","LIER","2500","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069005,48069005,"S","S","Ship To Address Only","C","Customers","BE204450001","APOTHEEK DELRUE HANS","","","KERKSTRAAT 78","SINT-GILLIS-WAAS","9170","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069006,48069006,"S","S","Ship To Address Only","C","Customers","BE204451001","APOTHEEK SIMOENS R. NV","","","TER KAMEREN 3","ZOTTEGEM","9620","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
48069007,48069007,"S","S","Ship To Address Only","C","Customers","BE204452001","DERAEDT P BVBA","","","GOLFLAAN 44","SINT-MARTENS-LATEM","9830","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069008,48069008,"S","S","Ship To Address Only","DC","Deactivated Trade Customer","BE204456001","APOTHEEK LECOMTE","","","KERKLAAN 17","ASSEBROEK","8310","BEAS","Belgium Adv. Pricing Schedule","BE","999","Default Customer Type","",""
48069009,48069009,"S","S","Ship To Address Only","C","Customers","BE204457001","NV MERTENS APOTHEEK","","","ZAVELDRIESSTRAAT 14","GENK","3600","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069010,48069010,"S","S","Ship To Address Only","DC","Deactivated Trade Customer","BE204458001","APOTHEEK DE VOLDER","","","LICHTERVELDESTRAAT 8","ZWEVEZELE","8750","BEAS","Belgium Adv. Pricing Schedule","BE","999","Default Customer Type","",""
48069011,48069011,"S","S","Ship To Address Only","C","Customers","BE204459001","APOTHEEK DE LEY BVBA","","","HELLESTRAAT 71","STEKENE","9190","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069012,48069012,"S","S","Ship To Address Only","C","Customers","BE204460001","APOTHEEK BAENSLAND NV","","","PATER SEGERSSTRAAT 26","SINT-NIKLAAS","9100","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069013,48069013,"S","S","Ship To Address Only","DC","Deactivated Trade Customer","BE204461001","BVBA APOTHEEK THIJS","","","KAZERNELAAN 22","HOUTHALEN-HELCHTEREN","3530","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
48069014,48069014,"S","S","Ship To Address Only","C","Customers","BE204462001","APOTHEEK NERUM NV","","","CIJNSHOFSTRAAT  9","HEUSDEN-ZOLDER","3550","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
48069015,48069015,"S","S","Ship To Address Only","DC","Deactivated Trade Customer","BE204463001","APOTHEEK COCQUYT","","","DE SMET DE NAEYERLAAN 161","BLANKENBERGE","8370","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
48069016,48069016,"S","S","Ship To Address Only","C","Customers","BE204464001","APOTHEEK DE VOS","","","WILSELSESTEENWEG 142","KESSEL-LO (LEUVEN)","3010","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069017,48069017,"S","S","Ship To Address Only","C","Customers","BE204465001","APOTHEEK VERMEIREN","","","MECHELSESTEENWEG 159","BLAASVELD","2830","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
48069018,48069018,"S","S","Ship To Address Only","DC","Deactivated Trade Customer","BE204466001","APOTHEEK VERHAEGHE MYRIAM BVBA","","","BRUGGESTEENWEG 39","RUISELEDE","8755","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
48069019,48069019,"S","S","Ship To Address Only","C","Customers","BE204467001","APOTHEEK SERGEANT P BVBA","","","DORPSSTRAAT 2B","OUD-HEVERLEE","3050","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
48069020,48069020,"S","S","Ship To Address Only","DC","Deactivated Trade Customer","BE204468001","APOTHEEK GODELAINE","","","GISTELSESTEENWEG 172","OOSTENDE","8400","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
48069021,48069021,"S","S","Ship To Address Only","C","Customers","BE204469001","APOTEEK VANBELLE","","","TIENSESTEENWEG 107","BIERBEEK","3360","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069022,48069022,"S","S","Ship To Address Only","DC","Deactivated Trade Customer","BE204480001","APOTHEEK VAN DAMME NV","","","MOERKERKSESTEENWEG 169","SINT-KRUIS (BRUGGE)","8310","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
48069023,48069023,"S","S","Ship To Address Only","C","Customers","BE205001001","REVARTE REVALIDATIEZIEKENHUIS","","","DRIE EIKENSTRAAT 659","EDEGEM","2650","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069024,48069024,"S","S","Ship To Address Only","DC","Deactivated Trade Customer","BE208020001","INSTRULIFE NV","","","LEGEWEG 157 I","OOSTKAMP","8020","BEAS","Belgium Adv. Pricing Schedule","BE","E06","Wholesalers","",""
48069025,48069025,"S","S","Ship To Address Only","C","Customers","BE210900001","APOTHEEK JOCHMANS BVBA","","","AVENUE DE JETTE 290","BRUXELLES","1090","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
48069026,48069026,"S","S","Ship To Address Only","C","Customers","BE211234001","BVBA EQUITOM","","","VENUSBERGSTRAAT 1","MELDERT (LIMB.)","3560","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069027,48069027,"S","S","Ship To Address Only","C","Customers","BE211453001","NUCLEAIRE GENEESKUNDE","AZ MARIA MIDDELARES-SINT-JOZEF","CAMPUS MARIA MIDDELARES","KORTRIJKSESTEENWEG 1026","GENT","9000","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069028,48069028,"S","S","Ship To Address Only","DC","Deactivated Trade Customer","BE211818001","APOTHEEK WUYTS","","","HOGE HEERWEG 63","SINT-DENIJS-WESTREM","9051","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
48069029,48069029,"S","S","Ship To Address Only","C","Customers","BE214001001","APOTHEEK BIO-VITALPHARMA","","","TURNHOUTSEBAAN 282","BORGERHOUT (ANTWERPEN)","2140","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069030,48069030,"S","S","Ship To Address Only","C","Customers","BE217850001","IMPORTEXCO BVBA","","","PREENAKKER 3 - IZ D","MERCHTEM","1785","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069031,48069031,"S","S","Ship To Address Only","C","Customers","BE218000001","NOVARTIS PHARMA SA-NV","TAV JEAN PIERRE NOTTE","","STEPHENSONSTRAAT 40","BRUSSEL","1000","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069032,48069032,"S","S","Ship To Address Only","C","Customers","BE218000002","NOVARTIS PHARMA SA-NV","TAV ANNELIES VERBRUGGEN","","MEDIALAAN 40 BUS 1","VILVOORDE","1800","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069033,48069033,"S","S","Ship To Address Only","C","Customers","BE218001001","PORTAELS JAN AZ CAMPUS ZUID","ECONOMAAT - MAGAZIJN","","VAARTSTRAAT (ACHTERAAN GEBOUW)","VILVOORDE","1800","BEAS","Belgium Adv. Pricing Schedule","BE","104","Private Hospital","",""
48069034,48069034,"S","S","Ship To Address Only","C","Customers","BE218001003","AZ JAN PORTAELS","DIENST APOTHEEK","","SINT JOZEFSTRAAT","VILVOORDE","1800","BEAS","Belgium Adv. Pricing Schedule","BE","104","Private Hospital","",""
48069035,48069035,"S","S","Ship To Address Only","C","Customers","BE219300001","SECURILINK","","","VIERWINDEN 9","ZAVENTEM","1930","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069036,48069036,"S","S","Ship To Address Only","C","Customers","BE222000001","DIERENARTSENPRAKTIJK ORION","","","GANZENWEG 7","WIEKEVORST","2222","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069037,48069037,"S","S","Ship To Address Only","C","Customers","BE223001001","AZ TURNHOUT ST ELISABETH","CAMPUS SINT-ELISABETH","","RUBENSSTRAAT 166","TURNHOUT","2300","BEAS","Belgium Adv. Pricing Schedule","BE","104","Private Hospital","",""
48069038,48069038,"S","S","Ship To Address Only","C","Customers","BE223002001","AZ TURNHOUT ST-JOZEF (APOTHEEK)","CAMPUS SINT-JOZEF","APOTHEEK","STEENWEG OP MERKSPLAS 44","TURNHOUT","2300","BEAS","Belgium Adv. Pricing Schedule","BE","104","Private Hospital","",""
48069039,48069039,"S","S","Ship To Address Only","C","Customers","BE223002002","AZ.TURNHOUT-KUNSTNIER","CAMPUS SINT-JOZEF","","STEENWEG OP MERKSPLAS 44","TURNHOUT","2300","BEAS","Belgium Adv. Pricing Schedule","BE","104","Private Hospital","",""
48069040,48069040,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE223002007","DHR. VAN GINNIKEN GUIDO","","","HENDRIK VAN ZELLESTRAAT 35","OUD-TURNHOUT","2360","BEAS","Belgium Adv. Pricing Schedule","BE","EH1","Dialysis Home Patient","",""
48069041,48069041,"S","","Ship To Address Only","HP","Home Patient","BE223002008","DHR. EVERS JOHNNY","","","VOOREEL 8","RAVELS","2380","BEAS","Belgium Adv. Pricing Schedule","BE","EH1","Dialysis Home Patient","",""
48069042,48069042,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE223002009","DHR.VERBEECK GUNTHER","","","KERKSTRAAT 9","TESSENDERLO","3980","BEAS","Belgium Adv. Pricing Schedule","BE","EHC","Home Care Customers","",""
48069043,48069043,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE223002011","MEV.LAENEN ANNEMIE","***PATIENT HEMO 27/10/2011***","","RAUWELKOVEN 18","GEEL (ELSUM)","2440","BEAS","Belgium Adv. Pricing Schedule","BE","EHC","Home Care Customers","",""
48069044,48069044,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE223002012","MEVR. VERSTRAELEN NICOLE","***PATIENT HEMO 14/06/10*****","","DEN BRAND 129","TURNHOUT","2300","BEAS","Belgium Adv. Pricing Schedule","BE","999","Default Customer Type","",""
48069045,48069045,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE223002013","MEV.LUYTEN MATHILDE","","","GEMEENSTESTRAAT 11","RETIE","2470","BEAS","Belgium Adv. Pricing Schedule","BE","EHC","Home Care Customers","",""
48069046,48069046,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE223002014","DHR.KOX JOZEF","","","ROGGESTRAAT 47","MOL","2400","BEAS","Belgium Adv. Pricing Schedule","BE","EHC","Home Care Customers","",""
48069047,48069047,"S","","Ship To Address Only","HP","Home Patient","BE223002015","DHR. ROBBERECHTS JEAN-PAUL","","","OUD-STRIJDERSLAAN 39","TURNHOUT","2300","BEAS","Belgium Adv. Pricing Schedule","BE","EH1","Dialysis Home Patient","",""
48069048,48069048,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE223002016","MEV.GOOSSENS MARTINE","","","STENENSTRAAT 8","LICHTAART","2460","BEAS","Belgium Adv. Pricing Schedule","BE","EHC","Home Care Customers","",""
48069049,48069049,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE223002017","DHR.DE SWART KAREL","","","HEIMEULENSTRAAT 37","MEERLE","2328","BEAS","Belgium Adv. Pricing Schedule","BE","999","Default Customer Type","",""
48069050,48069050,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE223002018","DHR.VAN SPAENDONCK ANTON","","","GILDENSTRAAT 34","RETIE","2470","BEAS","Belgium Adv. Pricing Schedule","BE","999","Default Customer Type","",""
48069051,48069051,"S","S","Ship To Address Only","C","Customers","BE226001001","AWARD BIOCHEMICA","DHR. BETBENJAMIN SAMUEL","","PRINS ALBERTLEI 28","BERCHEM","2600","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069052,48069052,"S","S","Ship To Address Only","C","Customers","BE226101001","UNIV.ZIEKENHUIS ANTWERPEN","LABO EXP. HEMATOLOGIE","PROF DR VAN TENDERLOO","WILRIJKSTRAAT 10 LOKAAL 3638","EDEGEM","2650","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069053,48069053,"S","S","Ship To Address Only","C","Customers","BE226271001","PHARMALOGISTICS","","","DEMEURSLAAN 71","HUIZINGEN","1654","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069054,48069054,"S","S","Ship To Address Only","C","Customers","BE226600001","APOTEEK WIM SPYSSCHAERT","","","ST.BERNARDSESTEENWEG 808","HOBOKEN","2660","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069055,48069055,"S","S","Ship To Address Only","C","Customers","BE226700001","ALCON COUVREUR NV","","","RIJKSWEG 14","PUURS","2870","BEAS","Belgium Adv. Pricing Schedule","BE","E21","Pharmaceutical Company","",""
48069056,48069056,"S","S","Ship To Address Only","C","Customers","BE228000001","CRYO-SAVE LABS NV","","","GALILEILAAN 19","NIEL","2845","BEAS","Belgium Adv. Pricing Schedule","BE","E02","Private Laboratory","",""
48069057,48069057,"S","S","Ship To Address Only","C","Customers","BE228500001","PHARMACY CITYFARMA NV","PHARM. DE PETTER B.","","GROTE MARKT 2","BOOM","2850","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069058,48069058,"S","S","Ship To Address Only","DC","Deactivated Trade Customer","BE229601001","VETRINORD BVBA","**** ZIE ACCOUNT 48090278 *** WOMMELGEM","","GEMEENTEPLAATS 30","BRECHT","2960","BEAS","Belgium Adv. Pricing Schedule","BE","E32","Veterinary Clinic (SCM)","",""
48069059,48069059,"S","S","Ship To Address Only","C","Customers","BE230101001","APOTHEEK TIENSEPOORT BVBA","","","TIENSESTEENWEG 5","KESSEL-LO","3010","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069060,48069060,"S","S","Ship To Address Only","C","Customers","BE230121001","APOTHEEK WIAGRI PVBA","","","AARSCHOTSESTEENWEG 604","WILSELE","3012","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
48069061,48069061,"S","S","Ship To Address Only","C","Customers","BE230900001","CENTRE HOSPITALIER JOLIMONT -","LOBBES - MME VAN DER BIEST","PHARMACIE","RUE FERRER 19","HAINE-SAINT-PAUL","7100","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069062,48069062,"S","S","Ship To Address Only","C","Customers","BE230900002","MERCK NV","MONIQUE VERHAEGEN","","BRUSSELSESTEENWEG 288","OVERIJSE","3090","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069063,48069063,"S","S","Ship To Address Only","C","Customers","BE231300001","APOTHEEK 'T BEGIJNTJE NV","","","Dorpsstraat 2/001","BEGIJNENDIJK","3130","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069064,48069064,"S","S","Ship To Address Only","C","Customers","BE232000001","HOSPITAL LOGISTICS NV - LEV UZ LEUVEN","(IOV GASTHUISB. LEUVEN)","","GASTON GLEENSLAAN 33","AARSCHOT","3200","BEAS","Belgium Adv. Pricing Schedule","BE","E06","Wholesalers","",""
48069065,48069065,"S","S","Ship To Address Only","C","Customers","BE232000002","HOSPITAL LOGISTICS NV - LEV DIMPNA GEEL","(IOV DIMPNA GEEL)","","GASTON GLEENSLAAN 33","AARSCHOT","3200","BEAS","Belgium Adv. Pricing Schedule","BE","E06","Wholesalers","",""
48069066,48069066,"S","S","Ship To Address Only","C","Customers","BE232000003","HOSPITAL LOGISTICS NV - LEV AZ DIEST","LEVERINGEN VOOR AZ DIEST","","GASTON GLEENSLAAN 33","AARSCHOT","3200","BEAS","Belgium Adv. Pricing Schedule","BE","E06","Wholesalers","",""
48069067,48069067,"S","S","Ship To Address Only","C","Customers","BE232000004","HOSPITAL LOGISTICS NV - LEV AZ MALLE","LEVERINGEN VOOR AZ MALLE","","GASTON GLEENSLAAN 33","AARSCHOT","3200","BEAS","Belgium Adv. Pricing Schedule","BE","E06","Wholesalers","",""
48069068,48069068,"S","S","Ship To Address Only","C","Customers","BE235000001","PROVINCIALE SECUNDAIRE SCHOOL","","","KUNSTLAAN 1","HASSELT","3500","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069069,48069069,"S","S","Ship To Address Only","C","Customers","BE235002001","VISO ST ANGELA VZW","VRIJ TECHNISCH INSTITUUT","CAMPUS SALVATOR","SALVATORSTRAAT 20","HASSELT","3500","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069070,48069070,"S","S","Ship To Address Only","C","Customers","BE235003001","VZW JESSA ZIEKENHUIS","MAGAZIJN-APOTHEEK-VIRGA JESSE","APOTHEEK STADSOMVAART","STADSOMVAART 11","HASSELT","3500","BEAS","Belgium Adv. Pricing Schedule","BE","104","Private Hospital","",""
48069071,48069071,"S","S","Ship To Address Only","DC","Deactivated Trade Customer","BE235003002","VZW JESSA ZIEKENHUIS","CAMPUS SALVATOR LABO","LABO SALVATOR","SALVATORSTRAAT 20","HASSELT","3500","BEAS","Belgium Adv. Pricing Schedule","BE","104","Private Hospital","",""
48069072,48069072,"S","S","Ship To Address Only","C","Customers","BE235003003","VZW JESSA ZIEKENHUIS","CAMPUS SALVATOR APOTEEK","APOTHEEK SALVATOR","SALVATORSTRAAT 20","HASSELT","3500","BEAS","Belgium Adv. Pricing Schedule","BE","104","Private Hospital","",""
48069073,48069073,"S","S","Ship To Address Only","C","Customers","BE235003004","C.A.Z. MIDDEN LIMBURG","CAMPUS URSULA","","STEENWEG OP DIEST","HERK-DE-STAD","3540","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
48069074,48069074,"S","S","Ship To Address Only","C","Customers","BE235003005","VZW JESSA ZIEKENHUIS","CAMPUS SALVATOR - ECONOMAAT","ECONOMAAT SALVATOR","SALVATORSTRAAT 20","HASSELT","3500","BEAS","Belgium Adv. Pricing Schedule","BE","104","Private Hospital","",""
48069075,48069075,"S","S","Ship To Address Only","C","Customers","BE235003006","JESSAZIEKENHUIS-MAGAZIJN","CENTRAAL MAGAZIJN EKKELGARDEN","EKKELGARDEN","EKKELGARDEN 14","HASSELT","3500","BEAS","Belgium Adv. Pricing Schedule","BE","104","Private Hospital","",""
48069076,48069076,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE235003010","MEV. DOUCET GABRIELLA","","SCHOTELSTRAAT 5","SCHOTELSTRAAT 5","STOKROOI","3511","BEAS","Belgium Adv. Pricing Schedule","BE","EHC","Home Care Customers","",""
48069077,48069077,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE235003011","DHR.YILMAZ OSMAN","","","DENNENSTRAAT 8","HOUTHALEN","3530","BEAS","Belgium Adv. Pricing Schedule","BE","EHC","Home Care Customers","",""
48069078,48069078,"S","","Ship To Address Only","ZHP","Deactivated Home care Patient","BE235003012","DHR.COENEN NICO","** TX ** (09/02/11)","","BOSBEEKSTRAAT 1","HASSELT(KURINGEN)","3500","BEAS","Belgium Adv. Pricing Schedule","BE","EHC","Home Care Customers","",""
